IDlist	CATEGORY	GLOSS	GLOSS	VALUE	FORM	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
107	food	camote	edible tuber	NA							
105	food	blanquillo, huevo	egg	ndyìvì							
164	number	ocho	eight	ùnà							
20	body	cara	face	nūù							
190	property	está lejos, lejos	far	síká							
104	food	grasa, manteca	fat, lard, grease	xà’àn							
3	kinship	padre	father	tátá							
4	kinship	papá!	father!, dad!	NA							
206	abstract	culpa	fault, blame, sin	NA							
77	animal	pluma	feather	tòmī							
167	number	quince	fifteen	sà’ùn							
28	body	uña	fingernail	chíín							
118	cooking	lumbre, fuego	fire	NA							
52	animal	pez, pescado	fish	NA							
161	number	cinco	five	ù’ùn							
83	plant	flor	flower	ītā							
150	material	espuma	foam	chí’īñò							
32	body	pie	foot	sà’à							
160	number	cuatro	four	kòmì							
89	corn	elote	fresh ear of corn	ndyīxì							
54	animal	rana	frog	NA							
94	corn	surco	furrow, planting row	yīkò							
122	cooking	basura	garbage, trash	sè’è							
179	property	bueno	good	và’ā							
124	container	jícara	gourd, gourd bowl	yāsì							
87	corn	maíz en grano	grain of corn	nùnì							
82	plant	zacate, pasto	grass	yùkù							
58	animal	chapulín	grasshopper	NA							
153	color	verde	green	kuíì							
97	food	ejote	green bean	ndyìchí							
115	cooking	comal	griddle	NA							
19	body	pelo	hair	NA							
202	abstract	mitad	half, middle	NA							
27	body	mano	hand	ndā’à							
55	animal	gavilán	hawk	xá’á							
55	animal	gavilán	hawk	xí’á							
191	property	pesado	heavy	vèē							
71	animal	gallina	hen	ñí’ín							
81	plant	hierba	herb	NA							
130	thing	agujero, hoyo	hole	yāvì							
103	food	miel	honey	ñùñù							
76	animal	cuerno	horn (anatomy)	NA							
73	animal	caballo	horse	kuáyì				yes	colonial Spanish		
172	property	está caliente, caliente	hot	NA							
44	living	casa	house	vē’ē							
31	body	tripa, tripas	intestine, guts	sītyī							
188	property	celoso	jealous	NA							
186	property	flojo	lazy	NA							
136	nature	rayo, relámpago	lightning	NA							
147	material	cal	lime (material)	kākà							
178	property	largo.PL	long.PL	NA							
177	property	largo.SG	long.SG	kánì							
84	plant	maguey	maguey, century plant	NA							
111	food	mamey, zapote	mamey	NA							
13	person	hombre	man	NA							
47	living	petate	mat, sleeping mat, straw mat	yīvì							
114	food	carne	meat	kùñū							
34	body	medicina	medicine, remedy	NA							
145	material	fierro	metal	kàā							
203	abstract	dinero	money	NA							
134	nature	luna	moon	yòò							
1	kinship	madre	mother	náná							carroll2015ixpantepec
2	kinship	mamá!	mother!, mom!	NA							
141	nature	cerro	mountain, hill	yūkù							
60	animal	ratón, rata	mouse, rat	tyìín							
23	body	boca	mouth	yū’ù							
149	material	lodo	mud	ndyā’yì							
113	food	hongo	mushroom	NA							
189	property	cerca de, está cerca	near	NA							
26	body	cuello	neck	jìkò							
131	thing	red	net	ñūnù							
185	property	nuevo	new	sàá							
198	time	noche	night	ñūú							
199	time	de noche	night time	NA							
165	number	nueve	nine	ììn							
90	corn	nixtamal	nixtamal	NA							
25	body	nariz	nose	xtì’							
197	time	ahora, hoy	now, today	NA							
157	number	uno	one	īīn							
117	cooking	horno	oven	NA							
15	person	dueño	owner, boss	NA							
41	clothing	pantalón	pants	sātyī							
146	material	papel	paper	tyūtyū							
45	living	camino	path, road, trail	NA							
